#corpus	vsize	bsize	lrate	wordnet	human	human_dynamic
node2vec	50	366	0.005	0.736786979286131	0.40824436948527265	0.4579761243508537
jcn-brown-thresh01-near50	100	1	0.005	0.7799742932799879	0.3577433377580035	0.33491038839141735
jcn-brown-thresh01-near50	100	2	0.005	0.827085169398259	0.41894425924446416	0.3574684675617471
jcn-brown-thresh01-near50	100	10	0.005	0.8202960613245197	0.40296838875570623	0.39713913434858256
jcn-brown-thresh01-near50	100	20	0.005	0.8390756808672571	0.45265751083883915	0.35945814793135855
jcn-brown-thresh01-near50	100	25	0.005	0.8175099920082622	0.3745560400416833	0.3260550530829639
jcn-brown-thresh01-near50	100	50	0.005	0.8165841186838598	0.37095674930820927	0.3514631238834889
jcn-brown-thresh01-near50	100	5	0.005	0.8439516626895517	0.417811266177655	0.3544861445492169
jcn-brown-thresh01-near50	100	100	0.005	0.8524243023660782	0.417176289586081	0.35624640078033487
jcn-brown-thresh01-near50	100	500	0.005	0.8369187220116783	0.40196244381698537	0.3576086722622709
deepwalk	100	166	0.005	0.758796319588033	0.454187674	0.5298814784
node2vec	100	366	0.005	0.7270516909075139	0.4059220190742051	0.4665534223764628
jcn-brown-thresh01-near50	100	1000	0.005	0.8555273439122496	0.4132232343047392	0.37425056126217376
jcn-brown-thresh01-near50	100	2000	0.005	0.8290698307127407	0.39624308441626965	0.34476787218178795
jcn-brown-thresh01-near50	200	1	0.005	0.9096713231957605	0.4330322412661686	0.4509794335854809
jcn-brown-thresh01-near50	200	2	0.005	0.8824981750129897	0.4256621092812615	0.44526560951610633
jcn-brown-thresh01-near50	200	5	0.005	0.8785547081861971	0.4160151854706269	0.44913809264452254
jcn-brown-thresh01-near50	200	10	0.005	0.8756888169512185	0.43931034838160526	0.40714343341151943
jcn-brown-thresh01-near50	200	20	0.005	0.8753348788454592	0.4485012801098127	0.4217136547706214
jcn-brown-thresh01-near50	200	25	0.005	0.8912984298419262	0.4480606841074961	0.4337973443584909
jcn-brown-thresh01-near50	200	50	0.005	0.8907901693599729	0.44272427681021387	0.42513697130923866
jcn-brown-thresh01-near50	200	100	0.005	0.8763281438050566	0.41546559822045714	0.41782140114349303
jcn-brown-thresh01-near50	200	500	0.005	0.8790456028308714	0.41386284190721706	0.4249349685948389
jcn-brown-thresh01-near50	200	1000	0.005	0.8759446329986211	0.4106554606272143	0.42157387449535305
jcn-brown-thresh01-near50	200	2000	0.005	0.8945274803407045	0.44256783801204663	0.45636452515739917
deepwalk	200	166	0.005	0.7694737909604503	0.4529180864	0.5300038816
node2vec	200	366	0.005	0.6806375403052453	0.40632343428690026	0.4578036493641855
jcn-brown-thresh01-near50	300	1	0.005	0.886148880227455	0.4256274579452873	0.4466774981041309
jcn-brown-thresh01-near50	300	2	0.005	0.9084224249870474	0.46468700851374384	0.46923070469906675
jcn-brown-thresh01-near50	300	5	0.005	0.9059787774844591	0.4310526669077977	0.474104698891024
jcn-brown-thresh01-near50	300	10	0.005	0.903201746527955	0.4836463062201062	0.47267131200322227
jcn-brown-thresh01-near50	300	20	0.001	0.9035272087227608	0.4351228786404286	0.465557515415243
jcn-brown-thresh01-near50	300	20	0.005	0.9036253510920382	0.43571664329724785	0.46280753116015744
jcn-brown-thresh01-near50	300	25	0.005	0.9052706981637327	0.45132609520395733	0.46414222927463494
jcn-brown-thresh01-near50	300	50	0.005	0.9138623192142715	0.4580877976641828	0.4874186741006415
jcn-brown-thresh01-near50	300	100	0.005	0.9074065133507645	0.44988509928913384	0.46441179861614457
jcn-brown-thresh01-near50	300	100	0.001	0.9017221771917827	0.42533277940934733	0.44626596060362156
jcn-brown-thresh01-near50	300	500	0.005	0.8999788908600189	0.45094850532367586	0.4467611790438315
jcn-brown-thresh01-near50	300	1000	0.005	0.9200807919682984	0.4631231486298065	0.48434088019595056
jcn-brown-thresh01-near50	300	2000	0.005	0.9166887666410678	0.45771333574740664	0.46429840948042855
deepwalk	300	166	0.005	0.7742182392596817	0.4512443213	0.5332165167
node2vec	300	366	0.005	0.6706497262483943	0.37925170229521293	0.45009911625120097
jcn-brown-thresh01-near50	600	20	0.005	0.9330113944062549	0.4844876471572239	0.520307471510673
jcn-brown-thresh01-near50	600	50	0.005	0.9291908086502672	0.45939026948091494	0.5134341588242167
deepwalk	600	166	0.005	0.7780970767365072	0.4574576552	0.538031016
node2vec	600	366	0.005	0.7475217071442671	0.44447877997636315	0.5191899407476528
jcn-brown-thresh01-near50	600	100	0.005	0.9329533051727834	0.4648200891428779	0.514986507541479
