modelname	vsize	bsize	Pearson	Spearman
path2vec	100	100	0.7882	0.5490
path2vec	200	100	0.8279	0.5815
path2vec	300	100	0.8464	0.6092
path2vec	400	100	0.8487	0.6046
path2vec	500	100	0.8502	0.6038
path2vec	600	100	0.8537	0.6171
Deepwalk	100	166	0.8614	0.6538
Deepwalk	200	166	0.8454	0.6166
Deepwalk	300	166	0.8340	0.5957
Deepwalk	400	166	0.8190	0.5585
Deepwalk	500	166	0.8130	0.5543
Deepwalk	600	166	0.8036	0.5330
node2vec	100	366	0.7762	0.5171
node2vec	200	366	0.7382	0.4315
node2vec	300	366	0.7101	0.3917
node2vec	400	366	0.6785	0.3426
node2vec	500	366	0.6557	0.3036
node2vec	600	366	0.6417	0.2809
TransR	100	366	0.6721	0.5723
TransR	200	366	0.5663	0.5063
TransR	300	366	0.5344	0.4626
TransR	400	366	0.5538	0.4896
TransR	500	366	0.5333	0.4807
TransR	600	366	0.4198	0.3223

