#corpus	vsize	bsize	lrate	wordnet	human	human_dynamic
wup-thresh03	50	100	0.005	0.9221	0.4519	0.5146
node2vec	50	366	0.005	0.8843	0.4517	0.5129
wup-thresh03	100	100	0.005	0.93	0.483	0.5511
deepwalk	100	166	0.005	0.8615563287646296	0.4543057094	0.5298814784
node2vec	100	366	0.005	0.8533	0.4339	0.4836
transr	100	266	0.005	0.7928	0.3808	0.3571
wup-thresh03	200	100	0.005	0.9327	0.4864	0.5555
deepwalk	200	166	0.005	0.8665482620241852	0.4605742091	0.5300038816
node2vec	200	366	0.005	0.7738	0.4282	0.4505
transr	200	266	0.005	0.8106	0.4342	0.4056
wup-thresh03	300	100	0.005	0.9309	0.4908	0.5539
deepwalk	300	166	0.005	0.8683666207256435	0.4679787487	0.5332165167
node2vec	300	366	0.005	0.7594	0.4343	0.4616
transr	300	266	0.005	0.8162	0.3954	0.3864
deepwalk	600	166	0.005	0.8690117389167532	0.4670173061	0.538031016
node2vec	600	366	0.005	0.8234	0.4744	0.5105
transr	600	266	0.005	0.8263	0.3947	0.3913
wup-thresh03	600	100	0.005	0.9349	0.4856	0.5536
