#corpus	vsize	bsize	lrate	wordnet	human	human_dynamic
lch-thresh15	16	200	0.001	0.5912880499760181	0.27392873023809317	0.29700187611183704
lch-thresh15	32	60	0.001	0.6801340464098966	0.2920715277280696	0.354216018369424
lch-thresh15	32	100	0.001	0.6843341038585601	0.29165242124551954	0.35433746993097553
lch-thresh15	32	200	0.001	0.7099552973056339	0.31827334030452203	0.3609114237198727
lch-thresh15	50	10	0.001	0.6919419122098426	0.30867077680111726	0.4082938589409131
lch-thresh15	50	10	0.002	0.7030192101689214	0.3137866829307735	0.3873984933275105
lch-thresh15	50	200	0.001	0.7460753729357058	0.3382179869354065	0.40627370434247323
lch-thresh15	50	200	0.002	0.7486627784849789	0.33240937907652246	0.41339587093124275
lch-thresh15	50	25	0.001	0.7050989840854915	0.30941791321936485	0.4041598122501341
lch-thresh15	50	25	0.002	0.6297757946940455	0.2808543054173413	0.3328099608040521
lch-thresh15	50	50	0.001	0.7229076058943106	0.32706135368338934	0.40920610693684295
lch-thresh15	50	50	0.002	0.6565715413681228	0.25751514813979537	0.33246493804958943
lch-thresh15	64	1000	0.005	0.78105830776344	0.34456133436810543	0.4362560360657147
lch-thresh15	64	100	0.001	0.7467157530401392	0.3325987630468286	0.4131122537621948
lch-thresh15	64	2000	0.005	0.8626885263683138	0.37853256136086816	0.463138571151092
lch-thresh15	64	200	0.001	0.7636870462238893	0.3348471797522101	0.42355983707089545
lch-thresh15	64	500	0.005	0.7712238858310143	0.3514867267442934	0.41836505894444503
lch-thresh15	64	50	0.001	0.7349957982336784	0.32703486755112005	0.4105606085663766
lch-thresh15	100	100	0.001	0.7732472744650153	0.3351525421084502	0.43077533698468057
lch-thresh15	100	100	0.005	0.7647621406530836	0.34038487347596513	0.4125491627512064
lch-thresh15	100	200	0.001	0.7793861118570297	0.34012446036106864	0.43026389008367716
lch-thresh15	100	200	0.005	0.7954692086453318	0.3652777348960031	0.44536841950111483
lch-thresh15	100	50	0.001	0.7671192259630086	0.3350227113128478	0.4265939228671123
lch-thresh15	100	50	0.005	0.7734757281853695	0.3341200298018713	0.42614040432083294
lch-thresh15	200	100	0.001	0.8245841564471207	0.3696215824568792	0.46112471397198346
lch-thresh15	200	100	0.005	0.8346732043882082	0.37811672502194943	0.46234238194911825
lch-thresh15	200	200	0.001	0.8318881734487743	0.38813207814660383	0.47097934432944943
lch-thresh15	200	200	0.005	0.8265847571404398	0.3609198114994962	0.4480455533555299
lch-thresh15	200	50	0.001	0.8062070667931212	0.3589405418329957	0.450351792074124
lch-thresh15	200	50	0.005	0.8237735128903027	0.37034731060563914	0.46454807151587746
lch-thresh15	300	10000	0.005	0.8811729716312495	0.4125520889844103	0.4948251273417764
lch-thresh15	300	1000	0.001	0.8690075341212179	0.39951613871688757	0.4821637396886673
lch-thresh15	300	1000	0.002	0.8732807550121963	0.4013411632235313	0.48589057362301596
lch-thresh15	300	100	0.001	0.8496639158076269	0.3881102839595448	0.4757917428339982
lch-thresh15	300	100	0.005	0.8461316004011731	0.3738112254808008	0.46916560981511923
lch-thresh15	300	20000	0.005	0.8753043282469768	0.39431078095646904	0.4856754390698353
lch-thresh15	300	2000	0.005	0.8771584379660845	0.40681197133872576	0.48524325049957967
lch-thresh15	300	200	0.001	0.8577427022812628	0.39930835257186054	0.4744551402755664
lch-thresh15	300	200	0.005	0.8659929623679498	0.4026398977200289	0.480820243850312
lch-thresh15	300	3000	0.005	0.8777529140099906	0.40864363768988793	0.4875073316989043
lch-thresh15	300	50000	0.005	0.8845714309612954	0.4064896895436971	0.48844248292372544
lch-thresh15	300	5000	0.005	0.8803755372857718	0.41587217847414315	0.488496335761352
lch-thresh15	300	500	0.001	0.8646556732981298	0.40624308821556687	0.4870280788728129
lch-thresh15	300	50	0.005	0.8510267413186249	0.3928663321095878	0.4760263135601023
lch-thresh15	400	200	0.001	0.8696774503503875	0.4108793597383152	0.4901328442751002
lch-thresh15	400	25	0.001	0.8408603456508846	0.38134273187006307	0.46890822479703104
lch-thresh15	400	50	0.001	0.8381432067759481	0.37665706289817436	0.4710207312876954
lch-thresh15	500	10000	0.005	0.8954847624056939	0.4186154633747776	0.4947625258341709
lch-thresh15	500	100	0.005	0.879279029166144	0.4059813954792494	0.48958068979123875
lch-thresh15	500	2000	0.005	0.8898451265441141	0.41717333003332485	0.49899410928610055
lch-thresh15	500	200	0.005	0.8876158465072655	0.40048215133247733	0.4925009135710179
lch-thresh15	500	50000	0.005	0.8966190316403488	0.4172196604533451	0.4987470487816243
lch-thresh15	500	5000	0.005	0.8930146193738624	0.41410053246106066	0.4992683068284666
lch-thresh15	1000	10000	0.005	0.9033552371551498	0.4209014968876459	0.5042340645150152
lch-thresh15	1000	1000	0.005	0.9024525803652999	0.4199712730489415	0.5021152054115485
lch-thresh15	1000	2000	0.005	0.9045810683764866	0.4191749829189671	0.5006981656533812
lch-thresh15	1000	500	0.005	0.897989692428881	0.4201215574758286	0.5012634074091702
