wife.n.01	husband.n.01	2.3
book.n.01	textbook.n.01	6.35
groom.n.03	bride.n.01	3.17
night.n.01	day.n.04	1.88
south.n.03	north.n.03	2.2
airplane.n.01	airport.n.01	3.65
uncle.n.01	aunt.n.01	5.5
horse.n.01	mare.n.01	8.33
bottom.n.04	top.n.04	0.7
friend.n.01	buddy.n.01	8.78
scholar.n.01	student.n.01	9.35
universe.n.01	earth.n.01	6.67
leg.n.01	arm.n.01	2.88
airplane.n.01	jet.n.01	8.1
woman.n.01	man.n.01	3.33
horse.n.01	colt.n.01	7.07
actress.n.01	actor.n.01	7.12
teacher.n.02	teacher.n.01	9.25
movie.n.01	film.n.02	8.87
bird.n.01	hawk.n.01	7.85
word.n.01	dictionary.n.01	3.68
money.n.02	wage.n.01	7.88
dog.n.01	cat.n.01	1.75
area.n.01	region.n.03	9.47
navy.n.01	army.n.01	6.43
bible.n.01	literature.n.01	7.53
apparel.n.01	closet.n.04	3.27
sunset.n.01	dawn.n.01	2.47
child.n.01	adult.n.01	2.98
cow.n.01	cattle.n.01	9.52
bible.n.01	story.n.02	5.63
winter.n.01	summer.n.01	2.38
cab.n.03	cab.n.01	9.2
tree.n.01	maple.n.02	5.53
bed.n.01	bedroom.n.01	3.4
roof.n.01	ceiling.n.01	7.58
disease.n.01	infection.n.01	7.15
arm.n.01	shoulder.n.01	4.85
sheep.n.01	lamb.n.01	8.42
lady.n.01	gentleman.n.01	3.42
boat.n.01	anchor.n.01	2.25
priest.n.01	monk.n.01	6.28
toe.n.01	finger.n.01	4.68
river.n.01	stream.n.01	7.3
anger.n.01	fury.n.01	8.73
date.n.01	calendar.n.02	4.42
sea.n.01	ocean.n.01	8.27
second.n.01	minute.n.01	4.62
hand.n.01	thumb.n.01	3.88
wood.n.01	log.n.01	7.3
mud.n.01	soil.n.02	7.32
hallway.n.01	corridor.n.01	9.28
manner.n.01	manner.n.02	7.62
mouse.n.01	cat.n.01	1.12
bull.n.05	sheriff.n.01	9.05
death.n.01	burial.n.01	4.93
music.n.01	tune.n.01	6.98
beer.n.01	alcohol.n.01	7.5
mouth.n.01	lip.n.01	7.1
storm.n.01	hurricane.n.01	6.38
tax.n.01	income.n.01	2.38
flower.n.01	violet.n.01	6.95
paper.n.01	cardboard.n.01	5.38
floor.n.03	ceiling.n.03	1.73
beach.n.01	seashore.n.01	8.33
rod.n.01	curtain.n.01	3.03
hound.n.01	fox.n.01	2.38
street.n.01	alley.n.01	5.48
boat.n.01	deck.n.02	4.28
car.n.01	horn.n.01	2.57
friend.n.01	guest.n.01	4.25
employer.n.01	employee.n.01	3.65
hand.n.01	wrist.n.01	3.97
ball.n.01	cannon.n.01	2.58
alcohol.n.01	brandy.n.01	6.98
victory.n.01	triumph.n.02	8.98
telephone.n.01	booth.n.02	3.63
door.n.01	doorway.n.01	5.4
motel.n.01	hostel.n.01	8.17
apparel.n.01	fabric.n.01	5.47
steak.n.01	meat.n.01	7.47
nail.n.01	thumb.n.01	3.55
band.n.02	orchestra.n.01	7.08
script.n.01	bible.n.01	5.0
commercial_enterprise.n.02	industry.n.02	7.02
winter.n.01	season.n.02	6.27
ten.n.01	hundred.n.01	3.48
alcohol.n.01	gin.n.01	8.65
hat.n.01	coat.n.01	2.67
window.n.01	door.n.01	3.33
arm.n.01	wrist.n.01	3.57
house.n.01	apartment.n.01	5.8
glass.n.01	quartz_glass.n.01	6.27
wine.n.01	brandy.n.01	5.15
creator.n.02	maker.n.01	9.62
dinner.n.01	breakfast.n.01	3.33
arm.n.01	muscle.n.01	3.72
bubble.n.01	soapsuds.n.01	8.57
bread.n.01	flour.n.01	3.33
death.n.01	calamity.n.01	5.8
absence.n.01	presence.n.01	0.4
artillery.n.01	cannon.n.01	5.68
grass.n.01	sword.n.01	4.57
ball.n.01	basket.n.01	1.67
hosiery.n.01	garden.n.01	1.67
son.n.01	child.n.02	7.5
church.n.01	choir.n.01	2.95
apparel.n.01	drawer.n.01	3.02
tower.n.01	bell.n.01	1.9
father.n.01	parent.n.01	7.07
school.n.03	mark.n.01	4.42
parent.n.01	adult.n.01	5.37
barroom.n.01	jail.n.01	1.9
car.n.01	highway.n.01	3.4
dictionary.n.01	definition.n.01	6.25
door.n.01	basement.n.01	1.97
army.n.01	host.n.05	5.95
metallic_element.n.01	aluminum.n.01	7.25
chair.n.01	bench.n.01	6.67
cloud.n.01	fog.n.01	6.0
male_child.n.01	son.n.01	6.75
water.n.01	ice.n.01	6.47
bed.n.01	blanket.n.01	3.02
lawyer.n.01	lawyer.n.01	9.35
area.n.01	zone.n.02	8.33
business.n.01	company.n.01	9.02
apparel.n.01	fabric.n.01	5.87
sweater.n.01	jacket.n.01	7.15
money.n.02	capital.n.01	6.67
hand.n.01	foot.n.01	4.17
alcohol.n.01	cocktail.n.01	6.73
yard.n.01	inch.n.01	3.78
atom.n.02	atom.n.01	6.45
lens.n.01	camera.n.01	4.28
meal.n.01	dinner.n.01	7.15
center.n.01	rip.n.02	3.55
god.n.01	satan.n.01	1.8
loop.n.02	belt.n.01	3.1
rat.n.01	mouse.n.01	7.78
motor.n.01	engine.n.01	8.65
car.n.01	cab.n.03	7.42
big_cat.n.01	lion.n.01	6.75
size.n.01	magnitude.n.01	6.33
world.n.03	illusion.n.02	1.03
door.n.01	gate.n.01	5.25
computerized_tomography.n.01	positron_emission_tomography.n.01	5.95
tin.n.01	aluminum.n.01	6.42
bone.n.01	jaw.n.01	4.17
cereal.n.01	wheat.n.01	3.75
house.n.01	key.n.01	1.9
blood.n.01	human_body.n.01	4.28
doorway.n.01	corridor.n.01	3.73
god.n.01	spirit.n.04	7.3
capability.n.01	competence.n.01	7.62
abundance.n.01	plenty.n.01	8.97
sofa.n.01	chair.n.01	6.67
wall.n.01	brick.n.01	4.68
cornet.n.01	drum.n.01	2.68
organ.n.01	liver.n.01	6.15
strength.n.01	might.n.01	7.07
phrase.n.02	discussion.n.02	5.48
band.n.06	parade.n.01	3.92
stomach.n.01	waist.n.01	5.9
cloud.n.02	storm.n.01	5.6
joy.n.01	pride.n.01	5.0
noise.n.01	rattle.n.01	6.17
rain.n.01	mist.n.01	5.97
beer.n.01	beverage.n.01	5.42
man.n.01	uncle.n.01	3.92
apple.n.01	juice.n.01	2.88
intelligence.n.01	logic.n.02	6.5
communication.n.02	language.n.01	7.47
mink.n.03	fur.n.02	6.83
mob.n.01	crowd.n.01	7.85
shore.n.01	seashore.n.01	8.83
wire.n.01	cord.n.01	7.62
bird.n.01	turkey.n.01	6.58
bed.n.01	crib.n.01	7.3
competence.n.01	ability.n.01	7.5
cloud.n.01	haze.n.01	7.32
supper.n.01	meal.n.01	7.53
barroom.n.01	cage.n.01	2.8
water.n.01	salt.n.01	1.3
sense.n.01	intuition.n.01	7.68
situation.n.01	condition.n.01	6.58
crime.n.01	larceny.n.01	7.53
vogue.n.01	fashion.n.03	8.5
boundary.n.02	margin.n.01	9.08
branch.n.01	body.n.02	4.05
boat.n.01	car.n.01	2.37
sandwich.n.01	lunch.n.01	6.3
bride.n.01	princess.n.01	2.8
heroine.n.01	hero.n.02	8.78
car.n.01	gauge.n.01	1.13
insect.n.01	bee.n.01	6.07
crib.n.01	cradle.n.01	8.55
animal.n.01	person.n.01	3.05
cannabis.n.02	herb.n.02	6.5
bed.n.01	hospital.n.01	0.92
cheek.n.01	tongue.n.01	4.52
phonograph_record.n.01	computer.n.01	3.2
curve.n.01	angle.n.01	3.33
grass.n.01	moss.n.01	5.0
school.n.01	police.n.01	1.13
foot.n.01	head.n.01	2.3
mother.n.01	defender.n.01	6.5
orthodontist.n.01	dentist.n.01	8.27
alcohol.n.01	whiskey.n.01	7.27
mouth.n.01	tooth.n.03	6.3
breakfast.n.01	bacon.n.01	4.37
toilet.n.01	bedroom.n.01	3.4
plate.n.04	bowl.n.03	5.23
meat.n.01	bacon.n.01	5.8
air.n.01	helium.n.01	3.63
worker.n.01	employer.n.01	5.37
torso.n.01	thorax.n.02	4.45
son.n.02	father.n.06	3.82
heart.n.01	operation.n.06	1.08
woman.n.01	secretary.n.01	1.98
man.n.01	father.n.01	4.83
beach.n.01	island.n.01	5.6
narrative.n.01	subject.n.01	5.0
game.n.03	fun.n.01	3.42
weekend.n.01	week.n.01	4.0
couple.n.01	pair.n.03	8.33
woman.n.01	wife.n.01	5.72
